"","Trait2","genetic.value"
"11693",1.4373,1.51193983225832
"11694",1.4688,1.4984739859943
"11695",1.4216,1.47318783720901
"11696",1.5578,1.50128429952068
"11697",1.3174,1.51651657762179
"11698",1.5316,1.51468935550301
"11699",1.4815,1.47114139597966
"11700",1.5989,1.49218046713234
"11701",1.4521,1.49427931256781
"11702",1.5128,1.50075126974135
"11703",1.6446,1.59610711474083
"11704",1.5063,1.46444812917422
"11705",1.4826,1.49487146109401
"11706",1.3837,1.48196092630221
"11707",1.4907,1.45257388226186
"11708",1.6861,1.54714747460599
"11709",1.4365,1.49577418370366
"11710",1.4819,1.48005718846106
"11711",1.5838,1.53601055154635
"11712",1.4227,1.4543775316524
"11713",1.5411,1.50522196375605
"11714",1.4035,1.49023498923817
"11715",1.5511,1.50645240679721
"11716",1.6195,1.49501030804228
"11717",1.5497,1.53158035376758
"11718",1.5641,1.49989687219242
"11719",1.4928,1.52296623016604
"11720",1.5345,1.53102502052352
"11721",1.4934,1.51851852624782
"11722",1.6383,1.62194983666599
"11723",1.5461,1.54855982454656
"11724",1.2978,1.41395112657186
"11725",1.6414,1.5275186325581
"11726",1.5051,1.48204139860718
"11727",1.5056,1.52977420092001
"11728",1.4405,1.45496529966313
"11729",1.6516,1.50909629907289
"11730",1.3373,1.43804492643221
"11731",1.5002,1.56125645037954
"11732",1.6213,1.59182327031856
"11733",1.4358,1.44334105258238
"11734",1.6269,1.53399169582598
"11735",1.5558,1.5255734292235
"11736",1.5704,1.48683464967626
"11737",1.466,1.5278382567008
"11738",1.5678,1.58968406591436
"11739",1.5097,1.54355515754845
"11740",1.5184,1.46653481523704
"11741",1.5517,1.49350300047122
"11742",1.4318,1.47500915590649
"11743",1.5649,1.56479637128379
"11744",1.5516,1.55630256292157
"11745",1.5826,1.54629289234785
"11746",1.4205,1.44353701157646
"11747",1.5402,1.51791343537361
"11748",1.5061,1.56722824016928
"11749",1.571,1.56569853486662
"11750",1.5873,1.555260852716
"11751",1.6014,1.50124130911189
"11752",1.6459,1.55090754336414
"11753",1.6899,1.55190212071628
"11754",1.5328,1.534871964461
"11755",1.5389,1.52940226144224
"11756",1.6105,1.58404341108979
"11757",1.6434,1.61040862293127
"11758",1.526,1.53201389095785
"11759",1.5659,1.48373467217599
"11760",1.4372,1.49783660660034
"11761",1.2214,1.40839839947327
"11762",1.4856,1.45749815853589
"11763",1.5413,1.50793349218084
"11764",1.5196,1.47380955061229
"11765",1.4026,1.44596097947419
"11766",1.4662,1.46460009759498
"11767",1.3083,1.43921727618473
"11768",1.2217,1.40823738556416
"11769",1.4828,1.44257007844667
"11770",1.3659,1.4306761479976
"11771",1.3178,1.49747296007768
"11772",1.3764,1.45646513572735
"11773",1.564,1.51280444681794
"11774",1.5168,1.50085162125025
"11775",1.523,1.49241717782809
"11776",1.533,1.50873892826905
"11777",1.5285,1.503124828449
"11778",1.5391,1.49405830218444
"11779",1.4055,1.45176909345408
"11780",1.6679,1.56348762846038
"11781",1.5134,1.49320149592643
"11782",1.5465,1.4777019026601
"11783",1.4039,1.4131956090468
"11784",1.523,1.49249006976489
"11785",1.363,1.46772699572262
