rep,var,wregime,das,depth,wexr,rld,RLD100
3,MOROB,WWATER,14,55,0.237874,0.490005,49.0005
3,MOROB,WWATER,14,65,0.25494,0.61994,61.994
3,MOROB,WWATER,21,5,0.232394,0.113925,11.3925
3,MOROB,WWATER,21,15,0.129802,0.03565,3.565
3,MOROB,WWATER,21,25,0.149408,0.106305,10.6305
3,MOROB,WWATER,21,35,0.150309,0.127965,12.7965
3,MOROB,WWATER,21,45,0.145911,0.297935,29.7935
3,MOROB,WWATER,21,55,0.171841,0.677075,67.7075
3,MOROB,WWATER,21,65,0.175553,0.6506,65.06
3,MOROB,WWATER,35,5,0.975974,0.10822,10.822
3,MOROB,WWATER,35,15,1.841516,0.506985,50.6985
3,MOROB,WWATER,35,25,0.592237,0.673655,67.3655
3,MOROB,WWATER,35,35,1.342654,0.76607,76.607
3,MOROB,WWATER,35,45,0.832197,0.572715,57.2715
3,MOROB,WWATER,35,55,0.86465,0.506745,50.6745
3,MOROB,WWATER,35,65,0.395248,0.10973,10.973
3,MOROB,WWATER,42,5,0.365412,0.358315,35.8315
3,MOROB,WWATER,42,15,0.005846,0.74737,74.737
3,MOROB,WWATER,42,25,0.194529,0.96302,96.302
3,MOROB,WWATER,42,35,1.28111,1.278405,127.8405
3,MOROB,WWATER,42,45,1.117633,0.802815,80.2815
3,MOROB,WWATER,42,55,0.879587,1.154575,115.4575
3,MOROB,WWATER,42,65,0.734561,0.90073,90.073
3,MOROB,WWATER,49,5,0.93657,0.190475,19.0475
3,MOROB,WWATER,49,15,0.804866,0.39552,39.552
3,MOROB,WWATER,49,25,0.585164,0.721235,72.1235
3,MOROB,WWATER,49,35,1.375217,0.882485,88.2485
3,MOROB,WWATER,49,45,1.2257,0.53379,53.379
3,MOROB,WWATER,49,55,0.798587,1.16027,116.027
3,MOROB,WWATER,49,65,0.640694,0.87078,87.078
3,MOROB,WWATER,62,5,1.072221,0.818585,81.8585
3,MOROB,WWATER,62,15,0.690288,0.857645,85.7645
3,MOROB,WWATER,62,25,1.8193,0.656895,65.6895
3,MOROB,WWATER,62,35,1.611277,0.79956,79.956
3,MOROB,WWATER,62,45,1.931874,0.60552,60.552
3,MOROB,WWATER,62,55,1.07191,1.391895,139.1895
3,MOROB,WWATER,62,65,0.437663,2.04529,204.529
3,MOROB,WWATER,69,5,-0.022234,0.57452,57.452
3,MOROB,WWATER,69,15,0.383433,0.424265,42.4265
3,MOROB,WWATER,69,25,0.430019,0.31379,31.379
3,MOROB,WWATER,69,35,0.684173,0.737825,73.7825
3,MOROB,WWATER,69,45,1.347998,0.615515,61.5515
3,MOROB,WWATER,69,55,1.072811,0.940875,94.0875
3,MOROB,WWATER,69,65,1.427213,0.93725,93.725
3,MOROB,WWATER,83,5,1.302687,0.2098,20.98
3,MOROB,WWATER,83,15,2.489398,0.29278,29.278
3,MOROB,WWATER,83,25,0.83285,0.176005,17.6005
3,MOROB,WWATER,83,35,1.730673,0.28784,28.784
3,MOROB,WWATER,83,45,1.491234,0.33761,33.761
3,MOROB,WWATER,83,55,1.523903,0.435945,43.5945
3,MOROB,WWATER,83,65,1.254395,0.1313,13.13
3,MOROB,WWATER,90,5,1.552506,0.19059,19.059
3,MOROB,WWATER,90,15,1.757628,0.268645,26.8645
3,MOROB,WWATER,90,25,1.65302,0.231725,23.1725
3,MOROB,WWATER,90,35,1.715389,0.3121,31.21
3,MOROB,WWATER,90,45,1.670151,0.271935,27.1935
3,MOROB,WWATER,90,55,1.682906,0.086675,8.6675
3,MOROB,WWATER,90,65,1.414579,0,0
1,MOROB,STRESS,14,5,0.14427,0.15231,15.231
1,MOROB,STRESS,14,15,0.123782,0.251935,25.1935
1,MOROB,STRESS,14,25,0.115746,0.377285,37.7285
1,MOROB,STRESS,14,35,0.142388,0.547515,54.7515
1,MOROB,STRESS,14,45,0.094047,0.22045,22.045
1,MOROB,STRESS,14,55,0.461667,0.06542,6.542
1,MOROB,STRESS,14,65,0.458905,0.31995,31.995
1,MOROB,STRESS,21,5,0.274459,0.231815,23.1815
1,MOROB,STRESS,21,15,0.265287,0.611755,61.1755
1,MOROB,STRESS,21,25,0.263491,0.34248,34.248
1,MOROB,STRESS,21,35,0.222351,0.377085,37.7085
1,MOROB,STRESS,21,45,0.247877,0.24841,24.841
1,MOROB,STRESS,21,55,0.242284,0.16744,16.744
1,MOROB,STRESS,21,65,0.322436,0.35275,35.275
1,MOROB,STRESS,35,5,0.958423,0.416335,41.6335
1,MOROB,STRESS,35,15,0.995333,0.68383,68.383
1,MOROB,STRESS,35,25,1.207738,0.933145,93.3145
1,MOROB,STRESS,35,35,0.961402,0.60391,60.391
1,MOROB,STRESS,35,45,0.870944,1.2006,120.06
1,MOROB,STRESS,35,55,0.774545,0.63032,63.032
1,MOROB,STRESS,35,65,0.804375,0.03417,3.417
1,MOROB,STRESS,42,5,0.722689,0.326475,32.6475
1,MOROB,STRESS,42,15,0.836776,0.88984,88.984
