Obs,TRT,ENTNO,NAME,Rep,DTF,HT,GY,TDMY,HI,F10,Trial,Env
2112,C,e21,DSL-69-6,3,73,99,3625.52,7861.58,40.8872,,H,CH
1015,S,e6,DA8,1,70,132.667,3626.37,9477.8,33.9227,,D,SD
697,C,e50,URI,1,76,139,3627.14,7157.15,44.9315,,C,CC
1551,C,e34,IR77298-5-6-18,3,75,108.333,3627.31,8502.63,37.8231,,F,CF
1342,S,e15,DK124,1,88,69.5,3628.61,8157.72,39.4365,,E,SE
2934,S,e45,IR81025-B-425-B,3,71,134,3631.03,8439.4,43.0248,,J,SJ
1035,S,e12,DK109,3,79,87,3631.26,8134.8,39.5765,,D,SD
119,C,e49,RR72-18-832,2,.,79.8,3632.63,8436.34,43.0594,,A,CA
1119,S,e40,IR78908-193-B-3-B,3,74,122,3633.28,7962.6,40.4549,,D,SD
753,S,e18,DK142,3,77,83.5,3634.01,7775.24,41.438,,C,SC
1008,S,e3,D6-446-6S,3,74,90,3638.42,8325.82,38.7447,,D,SD
1485,C,e12,DK109,3,77,99,3638.87,8230.75,39.1971,,F,CF
1190,C,e14,DK122,2,73,79.667,3639.25,8118.35,39.7439,,E,CE
2740,C,e31,IR77298-14-1-2,1,80,129.667,3639.76,7449.07,48.862,,J,CJ
2937,S,e46,KALIA,3,69,120,3640.37,9594.88,37.9408,,J,SJ
2824,S,e9,DGI-81,1,80,110.833,3641.36,8835.19,41.1393,,J,SJ
1000,S,e1,APO,1,88,107,3641.83,8641.77,37.3632,,D,SD
948,C,e33,IR77298-14-1-2-13,3,79,103.667,3643.32,8064.69,40.0531,,D,CD
1006,S,e3,D6-446-6S,1,74,76,3643.42,8752.65,36.906,,D,SD
1011,S,e4,D6-547-2R,3,81,86.333,3643.44,8790.33,36.7479,,D,SD
567,C,e6,DA8,3,66,135.233,3644.02,6797.45,47.5293,,C,CC
2393,C,e15,DK124,2,70,89.667,3644.25,7484.19,48.6927,,I,CI
907,C,e20,DK167,1,82,104.333,3645.3,8410.25,38.4283,,D,CD
931,C,e28,IR74371-54-1-1,1,77,123.667,3645.79,8918.35,36.2438,,D,CD
2719,C,e24,IR70215-70-CPA-3-4-1-3,1,90,124.667,3648.14,14672.1,24.8645,,J,CJ
66,C,e30,IR75870-8-1-2-B-6-2-B-B-B,3,84,102.367,3649.59,6629.37,55.0519,,A,CA
1125,S,e42,IR78910-34-B-2-2,3,74,114.333,3652.99,9153.4,35.3828,,D,SD
1525,C,e26,IR71700-247-1-1,1,75,137.667,3653.41,9085.11,35.6529,,F,CF
1437,S,e46,KALIA,3,71,110.833,3653.59,8597.6,37.6764,,E,SE
1626,S,e9,DGI-81,3,81,117.167,3654.77,9555.67,33.9097,,F,SF
2883,S,e28,IR74371-54-1-1,3,71,135,3656.14,9706,37.6689,,J,SJ
1489,C,e14,DK122,1,75,110.333,3656.44,9484.72,34.1791,,F,CF
2943,S,e48,PSBRC68,3,90,125.333,3658.41,12064.21,30.3245,,J,SJ
2404,C,e19,DK157,1,70,88,3660.46,7367.02,49.6871,,I,CI
966,C,e39,IR78908-156-B-2-B,3,79,123.667,3662.77,9168.34,35.4198,,D,CD
2680,C,e11,DK108,1,78,104,3663.38,9712.61,37.7177,,J,CJ
889,C,e14,DK122,1,77,94.333,3663.42,8766.18,37.0513,,D,CD
280,C,e7,DGI-196,1,81,102,3664.33,10221.87,35.848,,B,CB
1344,S,e15,DK124,3,88,79,3664.97,9410.89,34.5276,,E,SE
2414,C,e22,DSL-89-3,2,75,90.333,3665.31,7136.19,51.3623,,I,CI
