"","x"
"12350",146.518856920696
"12351",158.303213389168
"12352",155.470461222509
"12353",152.744364503273
"12354",155.999981276045
"12355",157.748078836253
"12356",151.703813894367
"12357",161.210416806352
"12358",152.192449987424
"12359",156.02021328306
"12360",146.936041136569
"12361",145.649783121014
"12362",150.499509020555
"12363",153.026369910476
"12364",147.68449420233
"12365",149.162606803339
"12366",147.881052925453
"12367",150.704010426631
"12368",146.863257116053
"12369",150.439769786304
"12370",149.292381197728
"12371",157.530297213114
"12372",143.50052645088
"12373",144.602264088979
"12374",145.038676369063
"12375",151.709568804725
"12376",151.018131291751
"12377",142.585126680821
"12378",142.859191502303
"12379",143.134387156677
"12380",155.127686508059
"12381",147.767125479233
"12382",150.768487933606
"12383",153.373464949502
"12384",149.064117474943
"12385",139.625496125773
"12386",148.053818160273
"12387",152.087958205833
"12388",140.99051712056
"12389",145.052670945339
"12390",150.450814966576
"12391",152.531425593779
"12392",144.415039234168
"12393",148.337020674972
"12394",153.035414200556
"12395",147.485177108041
"12396",148.96609104611
"12397",151.719869095222
"12398",146.450993677908
"12399",150.83676624921
"12400",152.25102256921
"12401",144.393490836387
"12402",143.810237719353
"12403",146.352284671299
"12404",154.825590738617
"12405",148.951865212532
"12406",148.597861619634
"12407",155.103340377
"12408",146.244745797946
"12409",141.352683363513
"12410",146.266206794121
"12411",151.203327368582
"12412",153.379474772103
"12413",145.782478744896
"12414",151.498752392139
"12415",154.549917695091
"12416",157.319422050576
"12417",151.615379411086
"12418",151.783684676164
"12419",152.688666369842
"12420",149.824105493169
"12421",150.771834507773
"12422",152.114733877869
"12423",150.96010732423
"12424",149.840185681096
"12425",151.311829501943
"12426",143.884209587092
"12427",144.125888044205
"12428",147.753155631408
"12429",152.060062208819
"12430",147.309593761719
"12431",153.621612965841
"12432",148.538911110959
"12433",150.921218853886
"12434",152.359233135665
"12435",149.294074890516
"12436",149.005324356585
"12437",145.045222359326
"12438",146.872110635582
"12439",148.923381159657
"12440",151.381396816534
"12441",151.122783833083
"12442",144.140722565893
"12443",144.872404433939
"12444",150.50970241463
"12445",147.27364244064
"12446",152.898850430833
"12447",149.871752351625
"12448",155.617141422014
"12449",147.151602187394
"12450",145.972103534306
"12451",148.950537127397
"12452",144.961887882992
"12453",146.802276826502
"12454",147.846479899344
